"Gen" "Group" "DataSet" "Bichat1.reads" "Bichat10.reads" "Bichat11.reads" "Bichat13.reads" "Bichat2.reads" "Bichat3.reads" "Bichat6.reads" "Bichat7.reads" "Bichat9.reads" "BichatK1.reads" "BichatK10.reads" "BichatK11.reads" "BichatK13.reads" "BichatK2.reads" "BichatK3.reads" "BichatK6.reads" "BichatK7.reads" "BichatK9.reads" "postF266.reads" "postPIG20.reads" "postPIG26.reads" "postPIG29.reads" "postPIG31.reads" "postPIG528.reads" "postPIG94.reads" "postPIG96.reads" "preF266.reads" "prePIG20.reads" "prePIG26.reads" "prePIG29.reads" "prePIG31.reads" "prePIG528.reads" "prePIG94.reads" "prePIG96.reads"
"pstA:P07654:PSTA_ECOLI" "1" "Bac" 0 4.72078140501492 6.10797241609862 2.01073823584083 0.264408005348974 0.207064416704715 0.171657454574002 0 0.410364638292883 14.8451533776705 3102.19346754514 2837.79166045059 1524.89901096722 102.679864070794 311.229552371795 85.7158340333026 1.68238516792412 1073.21899227847 499.060740448128 2016.51171846718 425.74068279717 1253.4010070985 608.916556664936 274.663113933909 274.372226964458 135.776936487884 0.562430990356609 2.22828518733541 0.867612648838046 1.05564488950433 0.860834787491977 0.25394283066315 0.187673375009751 0.215275937467507
"chrC:A4UQR3:A4UQR3_9RHIZ" "2" "Bac" 0 0 0 0 0 0 0 0 0 0 0 0.111415932723495 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ymgB/ariR:P75993:ARIR_ECOLI" "3" "Bac" 0 0 0 0.111707679768935 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0381332260518574 0 0 0 0 0 0 0 0 0.0782577079538161 0 0 0
"iclR:P16528:ICLR_ECOLI" "4" "Bac" 0 4.0558826155762 5.73553507365358 1.89903055607189 0.132204002674487 0.207064416704715 0 0 0.410364638292883 2.09508212991317 2195.970542338 2130.82971333683 1143.09403641556 1.1015236215191 152.575990338861 37.1522125627627 1.57723609492886 753.398734700365 323.294956021119 1258.55200743026 256.282182041588 773.723156592186 382.054430405196 183.565552773582 168.779306758051 85.0650686430118 0.204520360129676 2.66663637172926 0.50610737848886 0.950080400553897 0.547803955676712 0.20315426453052 0.312788958349585 0.107637968733753
"cpxR:C4WZK6:C4WZK6_KLEPN" "5" "Bac" 0 0.199469636831616 0.59589974791206 0 0 0.0690214722349049 0 0 0.0586235197561262 0.299297447130453 17.8169720510045 84.4811309875897 3.95692250656431 1.01221089544999 0.0578816351816618 0.104213779979699 0.0350496909984192 4.21326739052448 0.0713045778608555 0.266840243280029 0.190402809837732 0.152532904207429 0.110772522587764 0 0.0651406046924165 0 0 0 0 0 0 0 0 0
"ttgE:Q9KWV4:TTGE_PSEPT" "228" "Bac" 0 0 0 0 0 0 0 0 0 0 0 0.0278539831808736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"lmrS:Q5HE38:Q5HE38_STAAC" "6" "Bac" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.126935206558488 0 0 0 0 0 0 0 0 0 0 0 0 0
"kpnO:C4XBC3:C4XBC3_KLEPN" "7" "Bac" 0 0.199469636831616 0.819362153379083 0.0558538398844674 0 0.0690214722349049 0.0572191515246672 0 0 0.419016425982634 112.792927903536 564.850924924936 67.3818246069749 8.36562534180725 4.91993899044125 5.41911655894436 0.315447218985773 21.5098387832039 5.06262502812074 27.0398113190429 5.77555189841122 15.7108891333652 8.8064155457272 4.90469846310552 3.06160842054357 0.899726687570317 0 0 0 0.0527822444752165 0 0 0 0
"kmrA:C4X8X9:C4X8X9_KLEPN" "8" "Bac" 0 0 0.0744874684890075 0 0 0 0 0.119524821899051 0 0.299297447130453 0.0862111550855055 2.22831865446989 0.15218932717555 1.54808725186469 0 0.104213779979699 0 0.110875457645381 0 0.311313617160034 0.317338016396221 0.228799356311144 0 0 0 0 0 0 0 0 0 0 0 0
"yqjH:Q46871:YQJH_ECOLI" "9" "Bac" 0.0707849842397233 5.05323079973428 4.24578570387343 1.56390751676509 0 0.41412883340943 0.0572191515246672 0 0.937976316098019 2.03522264048708 1798.45090623873 1613.887639483 890.421705972351 0.714501808552932 144.241034872701 38.6112054824785 0.560795055974707 618.740491390049 263.684328929444 1000.65091230011 205.952372641147 608.94948682211 322.071109423923 155.868432040751 140.378003112158 67.5612949030074 0.153390270097257 1.60728767611078 0.144602108139674 0.686169178177814 0.704319371584345 0.25394283066315 0.0625577916699171 0.107637968733753
