"title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Valgaften",1998,11,NA,7.6,195,4.5,0,4.5,4.5,4.5,4.5,14.5,34.5,24.5,24.5,"",0,0,1,0,0,0,1
"Africain, L'",1983,101,NA,6.2,88,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"",0,0,1,0,0,0,0
"Return of Tommy Tricker, The",1994,97,NA,4.5,50,14.5,4.5,4.5,14.5,14.5,14.5,24.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Young Lovers, The",1954,96,NA,5.6,11,0,0,0,4.5,34.5,14.5,0,0,14.5,14.5,"",0,0,0,1,0,0,0
"Watching TV",1994,5,NA,7,8,0,0,0,0,0,24.5,64.5,0,0,14.5,"",0,1,0,0,0,0,1
"Very Mean Men",2000,93,NA,6.7,54,4.5,4.5,0,4.5,0,14.5,24.5,14.5,4.5,34.5,"",0,0,1,0,0,0,0
"Girl from Calgary, The",1932,64,NA,8.7,5,0,0,0,0,24.5,0,24.5,0,24.5,44.5,"",0,0,1,0,0,0,0
"Trader Mickey",1932,8,NA,5.1,6,0,0,0,34.5,0,45.5,0,0,0,14.5,"",0,1,1,0,0,0,1
"Free",2001,96,NA,5.8,18,4.5,4.5,14.5,4.5,0,4.5,4.5,14.5,24.5,24.5,"",0,0,0,0,0,1,0
"Lotto Land",1995,87,NA,6.5,12,0,4.5,0,0,4.5,24.5,4.5,24.5,4.5,14.5,"",0,0,0,1,0,0,0
"Tic Code, The",1999,91,NA,5.8,164,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Boobie Girl",2002,5,NA,5.1,12,0,0,14.5,14.5,24.5,14.5,0,0,4.5,14.5,"",0,1,0,0,0,0,1
"Yeongwonhan jegug",1995,126,NA,7.2,13,0,0,0,0,4.5,14.5,24.5,34.5,14.5,0,"",0,0,0,1,0,0,0
"Bad Luck Blackie",1949,7,NA,8.7,76,4.5,0,4.5,4.5,4.5,4.5,14.5,4.5,14.5,45.5,"",0,1,1,0,0,0,1
"Lord Jeff",1938,85,NA,6.4,30,0,0,0,4.5,4.5,34.5,34.5,14.5,4.5,4.5,"",0,0,0,1,0,0,0
"Kraljica noci",2001,95,NA,6.3,18,24.5,4.5,4.5,0,4.5,14.5,24.5,4.5,4.5,4.5,"",0,0,0,1,0,0,0
"Starukhi",2003,100,NA,7.5,21,4.5,4.5,0,0,0,4.5,14.5,44.5,24.5,0,"",0,0,0,1,0,0,0
"Vincent",1987,105,NA,6.3,67,4.5,4.5,4.5,4.5,4.5,14.5,4.5,24.5,14.5,24.5,"",0,1,0,1,0,0,0
"Club, The",1975,4,NA,5.8,5,0,0,0,0,24.5,24.5,0,24.5,0,44.5,"",0,1,0,0,0,0,1
"Zoo in Budapest",1933,83,NA,6.8,56,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"",0,0,0,0,0,1,0
"Chekhovskie motivy",2002,120,NA,4.6,82,34.5,4.5,4.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0
"September Tapes",2004,95,NA,6.1,134,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"R",0,0,0,1,0,0,0
"Mrtav 'ladan",2002,90,NA,8.2,70,4.5,4.5,0,4.5,4.5,4.5,4.5,24.5,24.5,34.5,"",0,0,1,1,0,0,0
"Fei ying",2004,99,15000000,5.5,128,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,14.5,"",1,0,0,0,0,0,0
"Paras kai o foukaras, O",1964,88,NA,4.6,8,0,14.5,14.5,14.5,24.5,0,0,34.5,0,0,"",0,0,1,0,0,0,0
"Oh My God",2004,10,3500,7.5,20,14.5,4.5,0,0,0,0,14.5,4.5,14.5,45.5,"",0,0,1,0,0,0,1
"Ziteitai pseftis",1961,82,NA,7.4,16,0,0,0,0,0,4.5,14.5,44.5,14.5,14.5,"",0,0,1,0,0,0,0
"Action Nitsch-Journiac",1989,10,NA,5.7,6,0,0,14.5,0,0,0,14.5,34.5,34.5,0,"",1,0,0,0,0,0,1
"Cruel Sea, The",1953,121,NA,7.6,490,4.5,0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,"",0,0,0,1,0,0,0
"Deus Ex Machina",2003,16,NA,7.4,5,24.5,0,0,0,0,0,24.5,0,24.5,44.5,"",0,0,0,1,0,0,1
"Shazdeh Ehtejab",1974,93,NA,8.8,5,0,0,0,0,0,0,0,24.5,84.5,0,"",0,0,0,0,0,0,0
"Films of the Brothers Quay, The",1987,78,NA,8.6,124,4.5,0,0,4.5,4.5,4.5,4.5,14.5,24.5,44.5,"",0,1,0,0,1,0,0
"Fung gip",1979,85,NA,8,12,4.5,0,0,0,0,4.5,4.5,24.5,14.5,34.5,"",0,0,0,0,0,0,0
"Espionage Agent",1939,83,NA,5.8,29,0,4.5,0,4.5,24.5,34.5,14.5,4.5,0,14.5,"",0,0,0,1,0,0,0
"Beauty and the Beast",1962,77,NA,4.3,32,4.5,4.5,4.5,34.5,14.5,14.5,4.5,0,0,4.5,"",0,0,0,0,0,0,0
"Two Weeks Notice",2002,101,60000000,5.8,15010,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,1,0
"Fair Play",2002,15,NA,7.6,9,14.5,14.5,0,0,14.5,14.5,24.5,14.5,14.5,14.5,"",0,0,0,0,0,0,1
"Taboo IV: The Younger Generation",1985,105,NA,7,39,4.5,4.5,0,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"",0,0,0,1,0,0,0
"Silence of Dean Maitland, The",1934,95,NA,5.2,11,0,4.5,0,4.5,24.5,24.5,4.5,4.5,4.5,0,"",0,0,0,1,0,0,0
"Kichiku",1978,110,NA,7.3,22,4.5,0,0,4.5,4.5,4.5,14.5,14.5,24.5,14.5,"",0,0,0,0,0,0,0
"Rowdyman, The",1972,95,NA,6.7,41,4.5,4.5,4.5,0,0,4.5,4.5,14.5,4.5,44.5,"",0,0,0,1,0,0,0
"Sing, Baby, Sing",1936,90,NA,5.8,10,0,14.5,0,0,14.5,24.5,24.5,14.5,0,34.5,"",0,0,0,0,0,0,0
"Girls' Dormitory",1936,66,NA,5.4,10,0,24.5,14.5,0,14.5,14.5,14.5,34.5,0,14.5,"",0,0,0,1,0,1,0
"Sweet Killing",1993,87,NA,4.8,16,0,4.5,24.5,14.5,14.5,14.5,14.5,0,0,14.5,"",0,0,0,0,0,0,0
"Girls in Prison",1956,87,NA,4.7,22,4.5,0,4.5,14.5,24.5,34.5,4.5,4.5,0,0,"",0,0,0,1,0,0,0
"Rafferty and the Gold Dust Twins",1975,91,NA,5.1,69,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,14.5,"",0,0,1,0,0,0,0
"Oklahoma John",1965,81,NA,4.7,5,0,24.5,0,24.5,24.5,0,44.5,0,0,0,"",0,0,0,0,0,0,0
"Buried Loot",1935,19,NA,6.4,16,0,0,4.5,4.5,4.5,24.5,14.5,14.5,4.5,14.5,"",0,0,0,0,0,0,1
"9 Songs",2004,71,NA,5.2,464,14.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,4.5,4.5,"",0,0,0,1,0,1,0
"Play It As It Lays",1972,99,NA,5.5,55,14.5,0,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"",0,0,0,1,0,0,0
"Seven Cities of Gold",1955,103,NA,5.3,35,0,4.5,4.5,14.5,34.5,4.5,24.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Hennessy",1975,103,NA,5.6,63,4.5,4.5,4.5,14.5,14.5,34.5,14.5,14.5,4.5,4.5,"",1,0,0,1,0,0,0
"Paille et la poutre, La",2002,13,NA,6.8,6,0,0,0,0,0,14.5,34.5,14.5,0,34.5,"",0,0,1,1,0,0,1
"Khrustalyov, mashinu!",1998,137,NA,7.4,115,14.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,14.5,44.5,"",0,0,0,1,0,0,0
"Adam and Evelyne",1949,70,NA,5.8,37,0,0,0,14.5,14.5,44.5,14.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0
"Hush... Hush, Sweet Charlotte",1964,133,1900000,7.3,1293,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"",0,0,0,0,0,0,0
"24fps",2000,6,NA,4.8,16,4.5,4.5,24.5,4.5,34.5,14.5,0,0,0,4.5,"",0,0,0,0,0,0,1
"Sleepaway Camp III: Teenage Wasteland",1989,80,NA,4.6,455,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,"",0,0,0,0,0,0,0
"Nankyoku monogatari",1983,143,NA,6.9,134,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,34.5,"",1,0,0,1,0,0,0
"Roaming Cowboy, The",1937,56,NA,4.9,6,0,0,14.5,45.5,14.5,0,14.5,0,0,0,"",0,0,0,0,0,0,0
"Lundi matin",2002,122,NA,6.1,263,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"",0,0,1,1,0,0,0
"Kaante",2002,150,NA,5.2,213,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,"R",0,0,0,1,0,0,0
"Adio, Rio",1989,88,NA,8.6,24,4.5,0,0,0,4.5,4.5,24.5,4.5,14.5,44.5,"",0,0,0,0,0,0,0
"France Boutique",2003,95,NA,5.1,92,4.5,4.5,4.5,14.5,14.5,14.5,24.5,4.5,4.5,0,"",0,0,1,0,0,0,0
"Onmyoji",2001,116,NA,6.1,189,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"R",1,0,0,1,0,0,0
"Crimson Kimono, The",1959,82,NA,6.8,114,0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"",0,0,0,0,0,0,0
"Viehjud Levi",1999,95,NA,6.9,61,0,4.5,0,4.5,14.5,4.5,14.5,34.5,14.5,4.5,"",0,0,0,1,0,0,0
"Carnival",1935,77,NA,7.8,6,0,0,0,0,0,0,34.5,14.5,14.5,34.5,"",0,0,1,0,0,0,0
"Jonas qui aura 25 ans en l'an 2000",1976,116,NA,7.3,204,4.5,0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"",0,0,0,1,0,0,0
"Peyton Place",1957,162,NA,7.2,644,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,0,1,0,1,0
"Annihilation of Fish, The",1999,108,NA,5.5,47,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,34.5,"R",0,0,0,0,0,1,0
"Firepower",1979,104,NA,4.6,96,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,0,4.5,"",0,0,0,1,0,0,0
"Priyatel pokoynika",1997,100,NA,7.2,142,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,24.5,4.5,"R",0,0,1,1,0,0,0
"Nadie escuchaba",1984,117,NA,8.2,24,4.5,0,0,4.5,0,0,4.5,4.5,14.5,64.5,"",0,0,0,0,1,0,0
"Perth",2005,107,NA,5.8,10,24.5,0,14.5,14.5,0,14.5,0,24.5,34.5,0,"",0,0,0,1,0,0,0
"Pretty in Pink",1986,96,NA,6.3,6031,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,14.5,"",0,0,1,1,0,1,0
"Woman in the Window, The",1945,99,NA,7.6,853,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,14.5,"",0,0,0,0,0,0,0
"Nouvelle-France",2004,142,NA,5.9,75,4.5,4.5,4.5,4.5,14.5,4.5,14.5,14.5,4.5,14.5,"",0,0,0,1,0,1,0
"Cache Cash",1994,90,NA,6.8,15,4.5,0,4.5,0,4.5,4.5,0,44.5,4.5,24.5,"",0,0,0,0,0,0,0
"Shooting Creek",1995,30,NA,7.6,7,14.5,0,0,0,0,24.5,0,0,0,45.5,"",0,0,0,1,0,0,1
"Tinseltown",1997,88,NA,4.4,89,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Blue Moon",2002,97,NA,6.4,167,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,24.5,"",0,0,1,1,0,1,0
