NCBI,Name,FullName,FullNCBI
0,unclassified,U__unclassified,0
1,root,R__root,1
3,Bacteria,R__root;D__Bacteria,1;3
52,Firmicutes,R__root;D__Bacteria;P__Firmicutes,1;3;52
201,Bacilli,R__root;D__Bacteria;P__Firmicutes;C__Bacilli,1;3;52;201
457,Lactobacillales,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales,1;3;52;201;457
850,Lactobacillaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Lactobacillaceae,1;3;52;201;457;850
2772,Lactobacillus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Lactobacillaceae;G__Lactobacillus,1;3;52;201;457;850;2772
2773,Pediococcus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Lactobacillaceae;G__Pediococcus,1;3;52;201;457;850;2773
852,Streptococcaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Streptococcaceae,1;3;52;201;457;852
2782,Streptococcus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Streptococcaceae;G__Streptococcus,1;3;52;201;457;852;2782
2780,Lactococcus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Streptococcaceae;G__Lactococcus,1;3;52;201;457;852;2780
2783,unclassified_Streptococcaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Streptococcaceae;F1__unclassified_Streptococcaceae,1;3;52;201;457;852;2783
2781,Lactovum,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Streptococcaceae;G__Lactovum,1;3;52;201;457;852;2781
851,Leuconostocaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Leuconostocaceae,1;3;52;201;457;851
2778,Weissella,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Leuconostocaceae;G__Weissella,1;3;52;201;457;851;2778
2776,Leuconostoc,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Leuconostocaceae;G__Leuconostoc,1;3;52;201;457;851;2776
848,Carnobacteriaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Carnobacteriaceae,1;3;52;201;457;848
2757,Granulicatella,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Carnobacteriaceae;G__Granulicatella,1;3;52;201;457;848;2757
2756,Dolosigranulum,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Carnobacteriaceae;G__Dolosigranulum,1;3;52;201;457;848;2756
2752,Atopostipes,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Carnobacteriaceae;G__Atopostipes,1;3;52;201;457;848;2752
2764,unclassified_Carnobacteriaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Carnobacteriaceae;F1__unclassified_Carnobacteriaceae,1;3;52;201;457;848;2764
2763,Trichococcus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Carnobacteriaceae;G__Trichococcus,1;3;52;201;457;848;2763
2759,Jeotgalibaca,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Carnobacteriaceae;G__Jeotgalibaca,1;3;52;201;457;848;2759
2762,Pisciglobus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Carnobacteriaceae;G__Pisciglobus,1;3;52;201;457;848;2762
2747,Alkalibacterium,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Carnobacteriaceae;G__Alkalibacterium,1;3;52;201;457;848;2747
849,Enterococcaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Enterococcaceae,1;3;52;201;457;849
2766,Enterococcus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Enterococcaceae;G__Enterococcus,1;3;52;201;457;849;2766
2768,Pilibacter,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Enterococcaceae;G__Pilibacter,1;3;52;201;457;849;2768
2770,Vagococcus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Enterococcaceae;G__Vagococcus,1;3;52;201;457;849;2770
2771,unclassified_Enterococcaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Enterococcaceae;F1__unclassified_Enterococcaceae,1;3;52;201;457;849;2771
847,Aerococcaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Aerococcaceae,1;3;52;201;457;847
2740,Aerococcus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Aerococcaceae;G__Aerococcus,1;3;52;201;457;847;2740
2744,Globicatella,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Aerococcaceae;G__Globicatella,1;3;52;201;457;847;2744
2743,Facklamia,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Aerococcaceae;G__Facklamia,1;3;52;201;457;847;2743
2739,Abiotrophia,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Aerococcaceae;G__Abiotrophia,1;3;52;201;457;847;2739
