"title" "year" "length" "budget" "rating" "votes" "r1" "r2" "r3" "r4" "r5" "r6" "r7" "r8" "r9" "r10" "mpaa" "Action" "Animation" "Comedy" "Drama" "Documentary" "Romance" "Short"
"Lone Star State of Mind" 2002 88 NA 5.6 514 4.5 4.5 4.5 4.5 14.5 14.5 14.5 14.5 4.5 14.5 "PG-13" 0 0 1 0 0 0 0
"Sex Files: Digital Sex" 1998 78 NA 3 22 34.5 24.5 4.5 14.5 4.5 4.5 0 0 0 4.5 "" 0 0 0 0 0 0 0
"Gharaana Mogudu" 1992 149 NA 9 10 0 0 0 0 0 0 0 44.5 24.5 44.5 "" 1 0 1 0 0 0 0
"Journey Into the Beyond" 1977 95 NA 5.1 6 14.5 14.5 0 14.5 34.5 0 0 14.5 0 0 "" 0 0 0 0 1 0 0
"Bastardi, I" 1968 102 NA 6.3 10 14.5 0 0 0 24.5 14.5 24.5 14.5 14.5 24.5 "" 0 0 0 0 0 0 0
"Brothers Rico, The" 1957 92 NA 7 27 0 4.5 0 4.5 4.5 14.5 34.5 14.5 14.5 14.5 "" 0 0 0 1 0 0 0
"Balloon Land" 1935 7 NA 6.6 30 0 0 4.5 4.5 4.5 14.5 24.5 24.5 4.5 24.5 "" 0 1 0 0 0 0 1
"FitzPatrick Traveltalks: Glimpses of Western Germany" 1954 9 NA 2.4 6 34.5 14.5 0 0 14.5 0 14.5 0 0 14.5 "" 0 0 0 0 1 0 1
"Naked States" 2000 80 NA 6.6 151 4.5 4.5 4.5 4.5 4.5 24.5 14.5 14.5 4.5 14.5 "R" 0 0 0 0 1 0 0
"White Like Me" 2004 15 40000 8.9 14 4.5 0 0 0 0 0 4.5 4.5 14.5 64.5 "" 0 0 0 1 0 0 1
"Strange Fits of Passion" 1999 84 NA 6.3 70 4.5 0 0 4.5 14.5 14.5 34.5 14.5 4.5 14.5 "" 0 0 1 1 0 0 0
"Sweet Sweetback's Baad Asssss Song" 1971 97 150000 5.3 547 24.5 4.5 4.5 4.5 14.5 14.5 14.5 4.5 4.5 14.5 "" 0 0 0 1 0 0 0
"Dinosaurus!" 1960 85 450000 4 119 14.5 14.5 4.5 14.5 14.5 14.5 14.5 4.5 4.5 4.5 "" 0 0 0 0 0 0 0
"Moonstalker" 1988 92 NA 4.6 25 24.5 24.5 4.5 4.5 4.5 14.5 0 4.5 4.5 24.5 "" 0 0 0 0 0 0 0
"Pyramide humaine, La" 1961 90 NA 9.2 8 0 0 0 0 0 0 14.5 0 34.5 45.5 "" 0 0 0 0 0 0 0
"Buio Omega" 1979 94 NA 5.8 382 4.5 4.5 4.5 4.5 4.5 14.5 14.5 14.5 14.5 24.5 "" 0 0 0 0 0 0 0
"Vernyye druz'ya" 1954 102 NA 8.5 15 0 0 0 0 0 0 4.5 24.5 34.5 34.5 "" 0 0 1 0 0 1 0
"Visage, The" 2003 40 60000 7.2 8 0 0 0 14.5 0 0 0 24.5 14.5 45.5 "" 0 0 0 0 0 0 1
"Insel der blutigen Plantage, Die" 1983 88 NA 4.5 14 4.5 4.5 4.5 24.5 14.5 14.5 0 4.5 0 24.5 "" 1 0 0 0 0 0 0
"Gold Diggers in Paris" 1938 97 NA 6.2 31 4.5 0 0 0 14.5 34.5 14.5 4.5 4.5 4.5 "" 0 0 1 0 0 1 0
"Luz prodigiosa, La" 2003 108 2000000 7 44 0 0 0 0 4.5 4.5 14.5 14.5 4.5 44.5 "" 0 0 0 1 0 0 0
"Judex" 1916 300 NA 8.5 54 4.5 4.5 0 4.5 4.5 4.5 4.5 14.5 14.5 45.5 "" 0 0 0 0 0 0 0
"Guantanamera" 1995 105 NA 6.8 450 4.5 4.5 4.5 4.5 4.5 14.5 24.5 24.5 14.5 14.5 "" 0 0 1 1 0 0 0
"Jardin de papa, Le" 2004 75 NA 4.3 8 14.5 0 0 14.5 0 24.5 34.5 14.5 0 0 "" 0 0 0 0 0 0 0
"Last Good War, The" 1999 13 NA 7.5 11 4.5 0 4.5 0 0 0 24.5 4.5 4.5 34.5 "" 0 0 0 0 0 0 1
"Cheese Makes You Dream" 2003 5 NA 6.1 11 34.5 0 0 0 0 4.5 4.5 0 0 44.5 "" 0 0 0 1 0 0 1
"Leo the Last" 1970 104 NA 5.7 76 4.5 0 4.5 14.5 14.5 14.5 14.5 14.5 4.5 14.5 "" 0 0 1 1 0 0 0
"Man in the Middle" 1964 94 NA 6.3 44 4.5 4.5 4.5 4.5 4.5 4.5 24.5 14.5 0 14.5 "" 0 0 0 1 0 0 0
"Bermuda Mystery, The" 1944 65 NA 5.6 6 0 0 0 0 34.5 45.5 14.5 0 0 0 "" 0 0 0 0 0 0 0
"Breaking Point" 1993 92 NA 4.8 69 4.5 4.5 4.5 14.5 24.5 24.5 4.5 14.5 4.5 4.5 "" 0 0 0 0 0 0 0
"Tweet Zoo" 1957 7 NA 6.7 29 0 0 0 4.5 14.5 4.5 45.5 24.5 0 4.5 "" 0 1 1 0 0 0 1
"Brilliantovaya ruka" 1968 100 NA 7.9 624 4.5 4.5 4.5 4.5 4.5 4.5 4.5 4.5 14.5 64.5 "" 0 0 1 0 0 0 0
"Kingdom of the Vampire" 1991 70 2500 6.6 7 24.5 0 0 14.5 0 0 0 0 0 45.5 "" 0 0 0 0 0 0 0
"Wild Pair, The" 1987 88 NA 4.4 30 4.5 4.5 14.5 34.5 14.5 14.5 14.5 0 0 0 "" 0 0 0 1 0 0 0
"In Search of Bigfoot" 1976 75 NA 3.2 9 14.5 14.5 14.5 0 14.5 24.5 14.5 0 0 24.5 "" 0 0 0 0 1 0 0
"Starstruck" 1998 90 NA 4.4 136 14.5 4.5 4.5 14.5 4.5 4.5 14.5 4.5 4.5 24.5 "" 0 0 0 1 0 0 0
"Thin Line Between Love and Hate, A" 1996 108 8000000 4.4 458 14.5 4.5 14.5 14.5 14.5 14.5 14.5 4.5 4.5 4.5 "R" 0 0 1 0 0 1 0
"Fleets of Stren'th" 1942 6 NA 6.8 5 0 0 0 0 0 44.5 24.5 24.5 0 24.5 "" 0 1 1 0 0 0 1
"Kairyu daikessen" 1966 86 NA 5.4 20 4.5 4.5 0 0 14.5 14.5 14.5 4.5 24.5 34.5 "" 0 0 0 0 0 0 0
"Inside Story, The" 1948 60 NA 5.5 7 0 0 0 0 44.5 44.5 0 14.5 0 0 "" 0 0 1 1 0 0 0
"Sam's Lake" 2002 27 NA 7.3 18 4.5 0 0 4.5 0 4.5 14.5 14.5 24.5 34.5 "" 0 0 0 0 0 0 1
"Warriors of Virtue" 1997 101 35000000 3.6 389 14.5 4.5 14.5 14.5 14.5 4.5 14.5 4.5 4.5 14.5 "PG" 1 0 0 0 0 0 0
"Mi nismo andjeli 2" 2005 89 NA 6.4 136 14.5 4.5 4.5 4.5 4.5 4.5 4.5 4.5 4.5 24.5 "" 0 0 1 0 0 0 0
"Arrowsmith" 1931 108 NA 5.8 125 4.5 4.5 4.5 4.5 14.5 24.5 14.5 14.5 4.5 4.5 "" 0 0 0 1 0 0 0
"PCU" 1994 79 9000000 5.9 2963 4.5 4.5 4.5 4.5 4.5 14.5 14.5 14.5 4.5 14.5 "" 0 0 1 0 0 0 0
"Gunan il guerriero" 1983 81 NA 2 38 44.5 14.5 4.5 14.5 14.5 0 4.5 4.5 4.5 4.5 "" 1 0 0 0 0 0 0
"Side by Side" 1975 84 NA 7.6 9 0 0 0 0 0 14.5 34.5 24.5 24.5 14.5 "" 0 0 1 0 0 0 0
"Mizaldo, Kraj Teatra" 1994 71 NA 8.5 6 14.5 0 0 0 0 0 0 0 0 84.5 "" 0 0 0 1 1 0 0
"Boxing Helena" 1993 107 NA 3.8 2451 24.5 14.5 14.5 14.5 14.5 14.5 4.5 4.5 4.5 4.5 "" 0 0 0 1 0 1 0
"Live and Let Die" 1973 121 7000000 6.6 8022 4.5 4.5 4.5 4.5 4.5 24.5 34.5 14.5 4.5 4.5 "" 1 0 0 0 0 0 0
"Szpital przemienienia" 1979 90 NA 6.9 13 0 0 0 0 4.5 14.5 4.5 34.5 0 34.5 "" 0 0 0 0 0 0 0
"Sniffles Bells the Cat" 1941 8 NA 5.9 17 4.5 0 0 24.5 4.5 14.5 24.5 4.5 14.5 4.5 "" 0 1 1 0 0 0 1
"Arnold" 1973 94 NA 4.7 84 4.5 4.5 14.5 4.5 14.5 14.5 14.5 4.5 4.5 4.5 "" 0 0 1 0 0 0 0
"World in My Corner" 1956 82 NA 7.4 10 0 0 0 0 14.5 24.5 24.5 14.5 0 44.5 "" 0 0 0 1 0 0 0
"Rajita para dos, Una" 1984 91 NA 6.8 7 14.5 0 0 0 0 14.5 0 74.5 0 0 "" 0 0 0 0 0 0 0
"Betty Boop's Museum" 1932 7 NA 6 14 0 0 0 4.5 24.5 14.5 14.5 24.5 4.5 0 "" 0 1 0 0 0 0 1
"Whole" 2003 55 50000 7.5 12 0 0 0 0 4.5 24.5 34.5 4.5 24.5 0 "" 0 0 0 0 1 0 0
"Leptirov oblak" 1977 92 NA 5.3 6 0 0 14.5 14.5 34.5 14.5 0 0 0 14.5 "" 0 0 1 0 0 0 0
"Chicken a La King" 1937 7 NA 4.1 7 0 0 45.5 14.5 14.5 0 14.5 0 0 0 "" 0 1 1 0 0 0 1
"Starlet!" 1969 91 NA 3.9 13 14.5 4.5 0 4.5 4.5 34.5 4.5 24.5 0 0 "" 0 0 0 1 0 0 0
"C-Man" 1949 75 NA 6.6 9 0 0 14.5 0 0 24.5 45.5 14.5 0 0 "" 0 0 0 1 0 0 0
"G.A.D.A.R." 2003 9 NA 7 5 24.5 0 0 0 0 0 64.5 24.5 0 0 "" 0 0 1 0 0 0 1
"Milk Money" 1994 110 NA 5.2 2236 4.5 4.5 4.5 14.5 14.5 24.5 14.5 4.5 4.5 4.5 "" 0 0 1 0 0 1 0
"Haunted House" 1940 70 NA 4.1 5 0 0 0 44.5 44.5 0 24.5 0 0 0 "" 0 0 0 0 0 0 0
"Swordsman, The" 1974 90 NA 2.7 7 0 14.5 14.5 14.5 0 0 14.5 14.5 0 24.5 "" 0 0 0 0 0 0 0
"Flirtation Walk" 1934 97 NA 6 49 0 4.5 4.5 4.5 14.5 14.5 34.5 14.5 4.5 4.5 "" 0 0 0 0 0 0 0
"Followers" 2000 87 NA 8.2 24 4.5 0 4.5 0 0 4.5 14.5 24.5 14.5 24.5 "" 0 0 0 1 0 0 0
"Noa Bat 17" 1982 86 NA 7.6 7 0 0 0 0 14.5 14.5 0 24.5 24.5 14.5 "" 0 0 0 1 0 0 0
"Last Starfighter, The" 1984 101 15000000 6.2 4890 4.5 4.5 4.5 4.5 14.5 24.5 24.5 14.5 4.5 4.5 "" 1 0 1 0 0 0 0
"Double Obsession" 1994 84 NA 3.4 29 34.5 4.5 14.5 14.5 4.5 4.5 4.5 4.5 4.5 14.5 "" 0 0 0 0 0 0 0
"Pig Farm, The" 2000 77 NA 4.4 28 14.5 14.5 4.5 14.5 14.5 4.5 14.5 14.5 4.5 0 "" 0 0 0 0 0 0 0
"Sapphire" 1959 92 NA 7.2 63 0 0 0 0 4.5 14.5 34.5 24.5 14.5 14.5 "" 0 0 0 1 0 0 0
